Epoch 60/100 | Loss: 0.1633 | Train Acc: 94.59% | Test Acc: 92.69% | LR: 0.000125
Epoch 61/100 | Loss: 0.1619 | Train Acc: 94.62% | Test Acc: 92.70% | LR: 0.000063
Epoch 62/100 | Loss: 0.1555 | Train Acc: 94.67% | Test Acc: 92.55% | LR: 0.000063
Epoch 63/100 | Loss: 0.1565 | Train Acc: 94.72% | Test Acc: 92.74% | LR: 0.000063
Epoch 64/100 | Loss: 0.1559 | Train Acc: 94.72% | Test Acc: 92.58% | LR: 0.000063
Epoch 65/100 | Loss: 0.1550 | Train Acc: 94.84% | Test Acc: 92.76% | LR: 0.000063
Epoch 66/100 | Loss: 0.1545 | Train Acc: 94.81% | Test Acc: 92.65% | LR: 0.000063
Epoch 67/100 | Loss: 0.1542 | Train Acc: 94.79% | Test Acc: 92.76% | LR: 0.000031
Epoch 68/100 | Loss: 0.1486 | Train Acc: 94.91% | Test Acc: 92.80% | LR: 0.000031
Epoch 69/100 | Loss: 0.1507 | Train Acc: 94.85% | Test Acc: 92.92% | LR: 0.000031
Epoch 70/100 | Loss: 0.1480 | Train Acc: 94.99% | Test Acc: 92.81% | LR: 0.000031
Epoch 71/100 | Loss: 0.1486 | Train Acc: 95.03% | Test Acc: 92.69% | LR: 0.000031
Epoch 72/100 | Loss: 0.1490 | Train Acc: 95.01% | Test Acc: 92.75% | LR: 0.000031
Epoch 73/100 | Loss: 0.1487 | Train Acc: 95.06% | Test Acc: 92.79% | LR: 0.000016
Epoch 74/100 | Loss: 0.1462 | Train Acc: 95.12% | Test Acc: 92.76% | LR: 0.000016
Epoch 75/100 | Loss: 0.1459 | Train Acc: 95.05% | Test Acc: 92.75% | LR: 0.000016
Epoch 76/100 | Loss: 0.1444 | Train Acc: 95.00% | Test Acc: 92.92% | LR: 0.000016
Epoch 77/100 | Loss: 0.1423 | Train Acc: 95.05% | Test Acc: 92.81% | LR: 0.000016
Epoch 78/100 | Loss: 0.1474 | Train Acc: 95.01% | Test Acc: 92.77% | LR: 0.000016
Epoch 79/100 | Loss: 0.1465 | Train Acc: 95.05% | Test Acc: 92.84% | LR: 0.000008
Epoch 80/100 | Loss: 0.1451 | Train Acc: 95.00% | Test Acc: 92.80% | LR: 0.000008
Epoch 81/100 | Loss: 0.1446 | Train Acc: 94.95% | Test Acc: 92.71% | LR: 0.000008
Epoch 82/100 | Loss: 0.1442 | Train Acc: 95.03% | Test Acc: 92.72% | LR: 0.000008
Epoch 83/100 | Loss: 0.1439 | Train Acc: 95.13% | Test Acc: 92.73% | LR: 0.000008
Epoch 84/100 | Loss: 0.1448 | Train Acc: 95.17% | Test Acc: 92.90% | LR: 0.000008
Epoch 85/100 | Loss: 0.1431 | Train Acc: 95.09% | Test Acc: 92.85% | LR: 0.000004
Epoch 86/100 | Loss: 0.1435 | Train Acc: 95.02% | Test Acc: 92.77% | LR: 0.000004
Epoch 87/100 | Loss: 0.1429 | Train Acc: 95.13% | Test Acc: 92.73% | LR: 0.000004
Epoch 88/100 | Loss: 0.1431 | Train Acc: 95.11% | Test Acc: 92.79% | LR: 0.000004
Epoch 89/100 | Loss: 0.1430 | Train Acc: 95.15% | Test Acc: 92.83% | LR: 0.000004
Epoch 90/100 | Loss: 0.1418 | Train Acc: 95.20% | Test Acc: 92.68% | LR: 0.000004
Epoch 91/100 | Loss: 0.1433 | Train Acc: 95.11% | Test Acc: 92.83% | LR: 0.000002
Epoch 92/100 | Loss: 0.1425 | Train Acc: 95.15% | Test Acc: 92.84% | LR: 0.000002
Epoch 93/100 | Loss: 0.1423 | Train Acc: 95.02% | Test Acc: 92.69% | LR: 0.000002
Epoch 94/100 | Loss: 0.1423 | Train Acc: 95.16% | Test Acc: 92.89% | LR: 0.000002
Epoch 95/100 | Loss: 0.1421 | Train Acc: 95.11% | Test Acc: 92.85% | LR: 0.000002
Epoch 96/100 | Loss: 0.1429 | Train Acc: 95.11% | Test Acc: 92.71% | LR: 0.000002
Epoch 97/100 | Loss: 0.1410 | Train Acc: 95.23% | Test Acc: 92.84% | LR: 0.000001
Epoch 98/100 | Loss: 0.1407 | Train Acc: 95.12% | Test Acc: 92.87% | LR: 0.000001
Epoch 99/100 | Loss: 0.1418 | Train Acc: 95.15% | Test Acc: 92.75% | LR: 0.000001
Epoch 100/100 | Loss: 0.1429 | Train Acc: 95.03% | Test Acc: 92.74% | LR: 0.000001
